Rank,Release Group,Worldwide,Domestic,%,Foreign,%
89,Heart of Oak,"$761,584",-,-,"$761,584",100%
90,Placés,"$759,453",-,-,"$759,453",100%
91,FIR,"$709,663",-,-,"$709,663",100%
92,Boiling Point,"$709,636",-,-,"$709,636",100%
93,America Latina,"$693,818",-,-,"$693,818",100%
94,Zlatni decko,"$691,991",-,-,"$691,991",100%
95,Meppadiyan,"$691,981",-,-,"$691,981",100%
96,Liubov i blohery,"$677,744",-,-,"$677,744",100%
97,Lynx,"$668,972",-,-,"$668,972",100%
98,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
99,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
100,Emergency Situation,"$617,557",-,-,"$617,557",100%
101,The Companions,"$575,002",-,-,"$575,002",100%
102,Bangarraju,"$534,735",-,-,"$534,735",100%
103,Ik wist het,"$521,151",-,-,"$521,151",100%
104,Zaï Zaï Zaï Zaï,"$510,076",-,-,"$510,076",100%
105,Serve the People,"$508,864",-,-,"$508,864",100%
106,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$503,829",-,-,"$503,829",100%
107,Milosc jest blisko,"$503,407",-,-,"$503,407",100%
108,Ek Love Ya,"$475,499",-,-,"$475,499",100%
109,The Chef,"$416,658",-,-,"$416,658",100%
110,"Romeo & Juliet - Roh, London 2022 (Ballet)","$407,787",-,-,"$407,787",100%
111,Den slepogo valentina,"$401,338",-,-,"$401,338",100%
112,Petya na moyata Petya,"$377,076",-,-,"$377,076",100%
113,How I Learned to Fly,"$372,561",-,-,"$372,561",100%
114,The Path,"$358,527",-,-,"$358,527",100%
115,The Best Weekend,"$353,922",-,-,"$353,922",100%
116,Nitram,"$344,826",-,-,"$344,826",100%
117,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
118,Zero Fucks Given,"$329,712",-,-,"$329,712",100%
119,Reunion 2,"$322,466",-,-,"$322,466",100%
120,Un Rabón con Corazón,"$321,899",-,-,"$321,899",100%
121,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
122,Clean,"$318,877","$318,877",100%,-,-
123,Candlelight Revolution,"$304,558",-,-,"$304,558",100%
124,Palmyra,"$299,571",-,-,"$299,571",100%
125,Afacanlar: Is Basa Düstü,"$282,375",-,-,"$282,375",100%
126,Last Looks,"$270,883",-,-,"$270,883",100%
127,Ex,"$270,305",-,-,"$270,305",100%
128,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
129,The Sadness,"$264,927",-,-,"$264,927",100%
130,L'ombra del giorno,"$263,102",-,-,"$263,102",100%
131,Secret Name,"$254,609",-,-,"$254,609",100%
132,I Want to Talk About Duras,"$250,010",-,-,"$250,010",100%
133,A Change of Heart,"$249,827",-,-,"$249,827",100%
134,Naai Sekar,"$237,861",-,-,"$237,861",100%
135,Mahlûkat,"$233,197",-,-,"$233,197",100%
136,Sundown,"$229,922","$229,922",100%,-,-
137,Ali & Ava,"$205,268",-,-,"$205,268",100%
138,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
139,Book of Love,"$200,954",-,-,"$200,954",100%
140,Super Sharanya,"$187,264",-,-,"$187,264",100%
141,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
142,The Grandson,"$176,823",-,-,"$176,823",100%
143,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
144,The Bunker Game,"$173,720",-,-,"$173,720",100%
145,Black Glasses,"$173,199",-,-,"$173,199",100%
146,Rosy,"$170,246",-,-,"$170,246",100%
147,Al Gareema,"$167,833",-,-,"$167,833",100%
148,Son of India,"$160,723",-,-,"$160,723",100%
149,Hamel El Lakab,"$160,544",-,-,"$160,544",100%
150,Nobody's Hero,"$159,981",-,-,"$159,981",100%
151,Octonauts and the Caves of Sac Actun,"$154,820",-,-,"$154,820",100%
152,Anka,"$152,402",-,-,"$152,402",100%
153,Arthur Rambo,"$149,028",-,-,"$149,028",100%
154,Malazgirt 1071,"$147,545",-,-,"$147,545",100%
155,Pups Alone,"$146,178",-,-,"$146,178",100%
156,Stop-Zemlia,"$143,434",-,-,"$143,434",100%
157,Small Body,"$137,030",-,-,"$137,030",100%
158,Jane by Charlotte,"$133,152",-,-,"$133,152",100%
159,Rhino,"$129,860",-,-,"$129,860",100%
160,Only Fools Rush In,"$128,846","$82,842",64.3%,"$46,004",35.7%
161,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
162,Yaytso Faberzhe,"$120,817",-,-,"$120,817",100%
163,Leonora addio,"$119,503",-,-,"$119,503",100%
164,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%
165,Butter,"$110,742","$110,742",100%,-,-
166,DJ Tillu,"$106,918",-,-,"$106,918",100%
167,Project 'Gemini',"$105,631",-,-,"$105,631",100%
168,Robust,"$103,144",-,-,"$103,144",100%
169,Flight 666,"$95,854",-,-,"$95,854",100%
170,Ghosts of the Ozarks,"$91,731",-,-,"$91,731",100%
171,"8 rzeczy, których nie wiecie o facetach","$88,156",-,-,"$88,156",100%
172,Kernagis,"$87,794",-,-,"$87,794",100%
173,Shattered,"$86,246",-,-,"$86,246",100%
174,Luigi Proietti detto Gigi,"$81,921",-,-,"$81,921",100%
175,Petra de San José,"$81,321",-,-,"$81,321",100%
176,The Conversation 2021 Re-release,"$80,594","$80,594",100%,-,-
177,See for Me,"$79,411","$51,218",64.5%,"$28,193",35.5%
178,The Unkind,"$76,692",-,-,"$76,692",100%
179,Strawberry Mansion,"$76,144","$76,144",100%,-,-
180,The Desperate Hour,"$75,983",-,-,"$75,983",100%
181,Listeners: The Whispering,"$75,789",-,-,"$75,789",100%
182,Masal Zamani Melez Prenses,"$70,258",-,-,"$70,258",100%
183,Save the Cinema,"$69,029",-,-,"$69,029",100%
184,Ghost in Transit,"$69,013",-,-,"$69,013",100%
185,The Last Execution,"$68,529",-,-,"$68,529",100%
186,Tazza: The Hidden Card 2022 Re-release,"$65,989",-,-,"$65,989",100%
187,The Girl with the Golden Hands,"$62,777",-,-,"$62,777",100%
188,Sewing Sisters,"$62,417",-,-,"$62,417",100%
189,Olmadi Kaçariz,"$62,129",-,-,"$62,129",100%
190,Tazza 2: The Hidden Card,"$61,756",-,-,"$61,756",100%
191,We Are Nothing,"$60,309",-,-,"$60,309",100%
192,Panghrun,"$60,244",-,-,"$60,244",100%
193,The Real Charlie Chaplin,"$60,155",-,-,"$60,155",100%
194,Träume sind wie wilde Tiger,"$59,423",-,-,"$59,423",100%
195,Nguoi Tình,"$59,357",-,-,"$59,357",100%
196,Odata pentru totdeauna,"$57,662",-,-,"$57,662",100%
197,Mr. Landsbergis,"$56,082",-,-,"$56,082",100%
198,The Automat,"$53,675","$53,675",100%,-,-
199,Mult V Kino Vol 133,"$53,075",-,-,"$53,075",100%
200,Superworm,"$50,858",-,-,"$50,858",100%
